Name,Divisions,Latitude,Longitude,Address,Normal_site,Auto_site,Glamping,Caravan,Restroom,Shower_room,Sink,Homepage
내평계곡야영장,자동차야영장,37.3249097,129.2357561,강원도 삼척시 내평길 190-0 ,20,0,0,0,2,2,2,https://www.gocamping.or.kr/bsite/camp/info/read.do?c_no=592&viewType=read01
너와나 야영장 ,자동차야영장,37.381619,128.2706209,강원 영월군 무릉도원면 백년계곡길 193,20,0,0,0,1,1,1,https://www.gocamping.or.kr/bsite/camp/info/read.do?c_no=596
농어바위캠핑장,일반야영장,37.2817996,126.4587725,인천 옹진군 영흥면 영흥서로 420-19,20,0,0,5,1,1,1,http://www.xn--980br3rgwhpkb9wl02avxl.com/?ty=1&ct=2
당진해양캠핑공원 ,일반야영장,36.8953511,126.8188355,충청남도 당진시 신평면 산정길 112 ,20,0,0,0,2,2,2,http://camping.dpto.or.kr/main/main.php
더시크릿가든 캠프지라운드 ,자동차야영장,37.7690737,127.5530818,강원도 춘천시 남산면 방하리 ,20,0,12,4,2,2,6,https://happyglamper.modoo.at/
더캠프 렌탈캠핑 ,일반야영장,36.1023026,128.0533571,경상북도 김천시 대항면 덕전리 ,20,0,0,0,2,2,1,https://cafe.naver.com/thecamprentalcamping
돌배야영장(제1야영장) ,자동차야영장,38.1924742,128.3220762,강원도 인제군 북면 용대리 ,20,0,0,0,1,1,1,https://dolbae.kr/
돌배야영장(제2야영장) ,자동차야영장,38.1902526,128.3189906,강원도 인제군 북면 용대리 ,20,0,0,0,1,1,1,https://dolbae.kr/
동막골야영장 ,자동차야영장,37.3240644,129.234428,강원도 삼척시 근덕면 동막리 ,20,0,0,0,2,2,2,https://www.gocamping.or.kr/bsite/camp/info/read.do?c_no=874&viewType=read01
둥글이네 ,자동차야영장,37.6623783,126.9488461,경기도 고양시 덕양구 북한산로 386-0 ,20,0,0,0,2,2,1,https://cafe.naver.com/dongglecamping
라포레캠핑장 ,일반야영장,36.8545512,127.0148204,충청남도 아산시 음봉면로 87 ,20,0,0,0,3,2,6,https://cafe.naver.com/laforetcamp
맑은누리 캠핑장 ,자동차야영장,36.0623862,127.8750978,충청북도 영동군 상촌면 물한계곡로 1212 ,20,0,0,0,2,2,1,http://uccboom.com/tent/
묵림산방,일반야영장,35.4769206,127.1298836,전북 순창군 구림면 안정리 233,20,0,0,0,2,2,2,https://booking.naver.com/booking/3/bizes/325468
문배골 캠핑장 ,자동차야영장,37.7986639,127.5894989,강원도 춘천시 서백길 691-83 ,20,0,0,0,1,1,1,http://monbaegol.com/
문장대 야영장,일반야영장,36.5580922,127.9221936,경상북도 상주시 화북면 용유리 ,20,0,0,0,4,1,3,https://www.mjdcamp.kr:455/
